hotspot_id,slot_date,slot_hour,crash_occurred,risk_score,risk_tier,baseline_rate,relative_risk,primary_road,center_lat,center_lng,district_id
480,2026-01-13,17,0,0.5237,critical,0.1168,4.48,BELMONT AVE,36.75343255737922,-119.76558541919232,6
53,2026-01-13,6,0,0.4424,critical,0.151,2.93,I-80 W/B,37.82797214346718,-122.3125239142691,4
359,2026-01-13,17,0,0.437,critical,0.1482,2.95,I-280 N/B,37.31746136096974,-121.96782143767707,4
1775,2026-01-13,17,0,0.382,critical,0.099,3.86,ELKHORN BLVD,38.695108515291736,-121.36084227081284,3
103,2026-01-13,17,0,0.3416,critical,0.099,3.45,US-101 N/B,37.58340849347539,-122.32641710045758,4
366,2026-01-13,18,1,0.2837,critical,0.1187,2.39,SR-237 W/B,37.403618355279455,-122.02162582542806,4
577,2026-01-13,15,0,0.2593,critical,0.129,2.01,SR-91 EASTBOUND,33.86915248495226,-117.73864713079728,12
249,2026-01-13,17,0,0.2462,critical,0.1179,2.09,US-101 N/B,37.53997734680946,-122.28532820290184,4
977,2026-01-13,4,0,0.2276,critical,0.0274,8.3,SR-91 E/B (ARTESIA FREEWAY),33.874723351906574,-118.19621531711802,7
279,2026-01-13,7,1,0.2233,critical,0.107,2.09,SR-92 W/B,37.61559254169433,-122.1527662578624,4
157,2026-01-13,18,0,0.2139,critical,0.1079,1.98,SR-242 N/B,37.99547167667793,-122.04030692700088,4
330,2026-01-13,5,0,0.2016,critical,0.106,1.9,I-580 WESTBOUND,37.74247556518522,-121.58933440584757,4
242,2026-01-13,18,0,0.1883,critical,0.1028,1.83,SR-51 S/B,38.63550100267892,-121.3935040335774,3
1154,2026-01-13,6,0,0.1855,critical,0.1,1.85,I-5 N/B,32.65526408953024,-117.10340692616845,11
959,2026-01-13,17,0,0.183,critical,0.1073,1.71,I-405 S/B (SAN DIEGO FREEWAY),33.85666430546992,-118.28933824577484,7
176,2026-01-13,18,0,0.1825,critical,0.0965,1.89,I-580 WESTBOUND,37.7028851441023,-121.9009016904396,4
3776,2026-01-13,18,0,0.18,critical,0.0806,2.23,INGLEWOOD AVE,33.93538058362292,-118.36352173549336,7
577,2026-01-13,18,1,0.1785,critical,0.0968,1.84,SR-91 EASTBOUND,33.86915248495226,-117.73864713079728,12
356,2026-01-13,10,0,0.1752,critical,0.1141,1.54,US-101 S/B,37.4824949922724,-122.17333242506704,4
366,2026-01-13,15,0,0.1707,critical,0.1079,1.58,SR-237 W/B,37.403618355279455,-122.02162582542806,4
714,2026-01-13,18,0,0.1695,critical,0.0983,1.72,I-405 N/B,34.0244146604954,-118.42414053461664,7
